"filename", "language", "Markdown", "C++", "Makefile", "CMake", "comment", "blank", "total"
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\MakeFile", "Makefile", 0, 0, 28, 0, 10, 14, 52
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\README.md", "Markdown", 95, 0, 0, 0, 0, 33, 128
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio.hpp", "C++", 0, 17, 0, 0, 33, 7, 57
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\AlResource.hpp", "C++", 0, 13, 0, 0, 47, 11, 71
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\AudioResource.hpp", "C++", 0, 18, 0, 0, 62, 14, 94
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\Export.hpp", "C++", 0, 9, 0, 0, 29, 11, 49
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\InputSoundFile.hpp", "C++", 0, 40, 0, 0, 201, 28, 269
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\Listener.hpp", "C++", 0, 23, 0, 0, 191, 21, 235
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\Music.hpp", "C++", 0, 53, 0, 0, 251, 34, 338
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\OutputSoundFile.hpp", "C++", 0, 21, 0, 0, 95, 18, 134
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\PlaybackDevice.hpp", "C++", 0, 12, 0, 0, 89, 10, 111
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\Sound.hpp", "C++", 0, 33, 0, 0, 203, 29, 265
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\SoundBuffer.hpp", "C++", 0, 44, 0, 0, 276, 33, 353
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\SoundBufferRecorder.hpp", "C++", 0, 23, 0, 0, 105, 17, 145
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\SoundChannel.hpp", "C++", 0, 27, 0, 0, 35, 4, 66
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\SoundFileFactory.hpp", "C++", 0, 44, 0, 0, 131, 23, 198
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\SoundFileFactory.inl", "C++", 0, 48, 0, 0, 38, 15, 101
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\SoundFileReader.hpp", "C++", 0, 23, 0, 0, 127, 16, 166
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\SoundFileWriter.hpp", "C++", 0, 15, 0, 0, 98, 13, 126
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\SoundRecorder.hpp", "C++", 0, 44, 0, 0, 335, 32, 411
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\SoundSource.hpp", "C++", 0, 42, 0, 0, 257, 34, 333
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Audio\SoundStream.hpp", "C++", 0, 65, 0, 0, 319, 37, 421
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Config.hpp", "C++", 0, 93, 0, 0, 83, 73, 249
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\GpuPreference.hpp", "C++", 0, 11, 0, 0, 50, 14, 75
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics.hpp", "C++", 0, 30, 0, 0, 32, 7, 69
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\BlendMode.hpp", "C++", 0, 50, 0, 0, 151, 19, 220
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\CircleShape.hpp", "C++", 0, 21, 0, 0, 116, 18, 155
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Color.hpp", "C++", 0, 36, 0, 0, 216, 24, 276
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Color.inl", "C++", 0, 84, 0, 0, 42, 31, 157
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\ConvexShape.hpp", "C++", 0, 20, 0, 0, 117, 17, 154
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\CoordinateType.hpp", "C++", 0, 9, 0, 0, 30, 5, 44
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Drawable.hpp", "C++", 0, 17, 0, 0, 95, 15, 127
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Export.hpp", "C++", 0, 9, 0, 0, 29, 11, 49
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Font.hpp", "C++", 0, 75, 0, 0, 379, 43, 497
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Glsl.hpp", "C++", 0, 40, 0, 0, 159, 29, 228
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Glsl.inl", "C++", 0, 52, 0, 0, 90, 14, 156
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Glyph.hpp", "C++", 0, 18, 0, 0, 52, 12, 82
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Image.hpp", "C++", 0, 36, 0, 0, 281, 30, 347
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\PrimitiveType.hpp", "C++", 0, 19, 0, 0, 33, 7, 59
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Rect.hpp", "C++", 0, 35, 0, 0, 215, 25, 275
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Rect.inl", "C++", 0, 100, 0, 0, 40, 32, 172
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\RectangleShape.hpp", "C++", 0, 19, 0, 0, 97, 17, 133
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\RenderStates.hpp", "C++", 0, 27, 0, 0, 129, 19, 175
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\RenderTarget.hpp", "C++", 0, 71, 0, 0, 402, 46, 519
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\RenderTexture.hpp", "C++", 0, 36, 0, 0, 270, 29, 335
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\RenderWindow.hpp", "C++", 0, 28, 0, 0, 251, 24, 303
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Shader.hpp", "C++", 0, 89, 0, 0, 718, 69, 876
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Shape.hpp", "C++", 0, 49, 0, 0, 271, 36, 356
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Sprite.hpp", "C++", 0, 34, 0, 0, 219, 27, 280
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\StencilMode.hpp", "C++", 0, 44, 0, 0, 196, 17, 257
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Text.hpp", "C++", 0, 69, 0, 0, 405, 40, 514
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Texture.hpp", "C++", 0, 70, 0, 0, 617, 47, 734
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Transform.hpp", "C++", 0, 40, 0, 0, 423, 35, 498
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Transform.inl", "C++", 0, 121, 0, 0, 68, 48, 237
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Transformable.hpp", "C++", 0, 41, 0, 0, 357, 32, 430
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\Vertex.hpp", "C++", 0, 21, 0, 0, 112, 16, 149
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\VertexArray.hpp", "C++", 0, 32, 0, 0, 167, 25, 224
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\VertexBuffer.hpp", "C++", 0, 49, 0, 0, 324, 36, 409
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Graphics\View.hpp", "C++", 0, 43, 0, 0, 269, 32, 344
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Main.hpp", "C++", 0, 7, 0, 0, 28, 9, 44
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network.hpp", "C++", 0, 14, 0, 0, 33, 7, 54
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\Export.hpp", "C++", 0, 9, 0, 0, 29, 11, 49
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\Ftp.hpp", "C++", 0, 119, 0, 0, 439, 59, 617
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\Http.hpp", "C++", 0, 101, 0, 0, 333, 49, 483
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\IpAddress.hpp", "C++", 0, 41, 0, 0, 256, 32, 329
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\Packet.hpp", "C++", 0, 72, 0, 0, 412, 62, 546
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\Socket.hpp", "C++", 0, 47, 0, 0, 146, 27, 220
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\SocketHandle.hpp", "C++", 0, 15, 0, 0, 30, 13, 58
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\SocketSelector.hpp", "C++", 0, 25, 0, 0, 216, 23, 264
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\TcpListener.hpp", "C++", 0, 19, 0, 0, 135, 17, 171
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\TcpSocket.hpp", "C++", 0, 37, 0, 0, 253, 27, 317
"c:\Users\fese\OneDrive\Documents\smfl chess cpp 2.6\code\include\SFML\Network\UdpSocket.hpp", "C++", 0, 29, 0, 0, 242, 22, 293
